YEAR,LOBBYIST_LAST_NAME,LOBBYIST_FIRST_NAME,EMPLOYER
2023,Michels,Marshall,Department of the Military
2023,Yost,Martin,Department of the Military
2023,Marlette,Jeff,Department of the Military
2023,Hohn,Connie,Department of the Military
2023,Campbell,Jason,Department of the Military
2023,Perry,Heather,Bureau of Info and Tele
2023,Snow,Pat,Bureau of Info and Tele
2023,Jost,Amanda,Bureau of Info and Tele
2023,Rae,Tony,Bureau of Info and Tele
2023,Hayden-Moreland,Wayne,Bureau of Info and Tele
2023,Booth,Deanne,Bureau of Info and Tele
2023,Overgaard,Julie,Bureau of Info and Tele
2023,Rohrer,Larry,Bureau of Info and Tele
2023,Clines,Jeff,Bureau of Info and Tele
2023,Nincehelser,Trent,Bureau of Info and Tele
2023,Burris,Rhonda,Bureau of Info and Tele
2023,Hoblick,Dan,Bureau of Info and Tele
2023,Penaranda,Miguel,Bureau of Info and Tele
2023,Osborn,Fred,Department of Tribal Relations
2023,Garcia,Mark,Department of Tribal Relations
2023,Flute,David,Department of Tribal Relations
2023,Schneider,Nicole,Department of Tribal Relations
2023,Skipper,Brittni,Department of Corrections
2023,Bunkers,Kristi,Department of Corrections
2023,Coppersmith,Bridget,Department of Corrections
2023,Winder,Michael,Department of Corrections
2023,Wasko,Kellie,Department of Corrections
2023,Clark,Doug,Department of Corrections
2023,Brennick,Randy,Board of Funeral Services
2023,Tellinghuisen,Carol,Board of Funeral Services
2023,Geddes,Brooke,Board of Funeral Services
2023,Rehorst,Abby,Board of Funeral Services
2023,Boetel,Melanie,Department of Social Services
2023,Althoff,Matt,Department of Social Services
2023,Johnson,Jeremy,Department of Social Services
2023,Aker,Sarah,Department of Social Services
2023,Wolfgang,Tiffany,Department of Social Services
2023,Simmons,Jason,Department of Social Services
2023,Mayer,Alex,Department of Social Services
2023,Lippert,Jeremy,Department of Social Services
2023,Bennett,Pamela,Department of Social Services
2023,Johnson,Carrie,Department of Social Services
2023,Tidball-Zeltinger,Brenda,Department of Social Services
2023,Stadick Smith,Mary,Department of Education
2023,Blaha,Kathryn,Department of Education
2023,Jones,Ben,Department of Education
2023,LaCroix,Amanda,Department of Education
2023,Malone,Shannon,Department of Education
2023,Moran,Joe,Department of Education
2023,Scheibe,Laura,Department of Education
2023,Seamon,George,Department of Education
2023,Stoeser,Cody,Department of Education
2023,Turner,Linda,Department of Education
2023,Waterson,Cheriee,Department of Education
2023,Rae,Lisa,Department of Education
2023,Graves,Joe,Department of Education
2023,Barnett,Mark,South Dakota Retirement System
2023,Mikkelsen,Michelle,South Dakota Retirement System
2023,Humann,Michelle,South Dakota Retirement System
2023,Koldenhoven,Samantha,South Dakota Retirement System
2023,Stroeder,Eric,South Dakota Retirement System
2023,STORM,JACQUE,South Dakota Retirement System
2023,ALMOND,TRAVIS,South Dakota Retirement System
2023,SCHRADER,PAUL,South Dakota Retirement System
2023,FIDDLER,DOUG,South Dakota Retirement System
2023,SMITH,DAWN,South Dakota Retirement System
2023,Johns,James,South Dakota Retirement System
2023,Miller,Dr. Mendel,Animal Industry Board
2023,Thompson,Dr Beth,Animal Industry Board
2023,Tedrow,Dr Todd,Animal Industry Board
2023,Terwilliger,Jim,Bureau of Finance and Management
2023,Kohler,Steven,Bureau of Finance and Management
2023,Keeler,Colin,Bureau of Finance and Management
2023,Senger,Keith,Bureau of Finance and Management
2023,Gruebele,Morgan,Bureau of Finance and Management
2023,Johnson,Derek,Bureau of Finance and Management
2023,Kerr,Allysen,Bureau of Finance and Management
2023,Williams,Rachel,Bureau of Finance and Management
2023,Tritle,Blaire,Bureau of Finance and Management
2023,Fuller,Mark,Bureau of Finance and Management
2023,Miesner,Brandy,Bureau of Finance and Management
2023,Albertson,Virginia,Bureau of Finance and Management
2023,DeSchepper,William,Bureau of Finance and Management
2023,Templeton,Don,Bureau of Finance and Management
2023,Christopherson,Dustin,Bureau of Finance and Management
2023,Corbin,Steve,Bureau of Finance and Management
2023,Keeler,Mary,Bureau of Finance and Management
2023,Lutz,Jason,Bureau of Finance and Management
2023,Bloemendaal,Calvin,Department of Tourism
2023,Getz,Hallie,Department of Tourism
2023,Carlsen,Bailey,Department of Tourism
2023,Ellsworth,Jacey,Department of Tourism
2023,Hagen,James,Department of Tourism
2023,Goodman,Wanda,Department of Tourism
2023,Hulstein,Kirk,Department of Tourism
2023,Gussiaas,Mike,Department of Tourism
2023,Baker,Patrick,Department of Tourism
2023,Cruse,Rebecca,Department of Tourism
2023,Nagel,Justin,School and Public Lands
2023,Hayes,Rocky,School and Public Lands
2023,Cornelison,Mike,School and Public Lands
2023,Knapp,Renee,School and Public Lands
2023,Kost-Hillmer,Treyon,School and Public Lands
2023,Bradford,Tailynn,School and Public Lands
2023,McGuire,Jackie,Department of Agriculture and Natural Resources
2023,Schiefelbein,Derek,Department of Agriculture and Natural Resources
2023,Hight,Todd,Housing Development Authority
2023,Polak,Lorraine,Housing Development Authority
2023,Harsma,Mike,Housing Development Authority
2023,McGuigan,Charles,Attorney General
2023,Roth,Kelsey,Attorney General
2023,Gemar,Stephen,Attorney General
2023,Barnett,Mark,Attorney General
2023,Satterlee,Dan,Attorney General
2023,Johnson,Chuck,Department of Veterans Affairs
2023,Whitlock,Greg,Department of Veterans Affairs
2023,Pollard,Aaron,Department of Veterans Affairs
2023,Brown,Erin,Department of Veterans Affairs
2023,Stulken,Judy,Bureau of Human Resources
2023,Seeley,Darin,Bureau of Human Resources
2023,Zeller,Ellen,Bureau of Human Resources
2023,Barnett,Mallori,Bureau of Human Resources
2023,Meyer,Jennifer,Bureau of Human Resources
2023,Petersen,Chris,"Department of Game, Fish and Parks"
2023,Schelhaas,Sam,"Department of Game, Fish and Parks"
2023,Switzer,Chad,"Department of Game, Fish and Parks"
2023,Lyons,Shawn,"Department of Game, Fish and Parks"
2023,Harrington,Nicholas,"Department of Game, Fish and Parks"
2023,Robling,Kevin,"Department of Game, Fish and Parks"
2023,Simpson,Scott,"Department of Game, Fish and Parks"
2023,Kirschenmann,Tom,"Department of Game, Fish and Parks"
2023,Kotilnek,Jon,"Department of Game, Fish and Parks"
2023,Nedved,Al,"Department of Game, Fish and Parks"
2023,Sattizahn,Greg,Unified Judicial System
2023,Olson,Aaron,Unified Judicial System
2023,Stevens,Sadie,Unified Judicial System
2023,Tronvold,Jeff,Unified Judicial System
2023,Plumage,Noreen,Unified Judicial System
2023,Roggow,Jason,Dept. of Agriculture and Nat Resources
2023,Walsh,Brian,Dept. of Agriculture and Nat Resources
2023,Besch,Peggy,Dept. of Agriculture and Nat Resources
2023,Bruels,Andy,Dept. of Agriculture and Nat Resources
2023,Goodman,Jeanne,Dept. of Agriculture and Nat Resources
2023,Keiser,Darcy,Dept. of Agriculture and Nat Resources
2023,Roberts,Hunter,Dept. of Agriculture and Nat Resources
2023,Smith,Bill,Dept. of Agriculture and Nat Resources
2023,Woodmansey,Kent,Dept. of Agriculture and Nat Resources
2023,Pontious,Brian,Dept. of Agriculture and Nat Resources
2023,Buscher,Kelli,Dept. of Agriculture and Nat Resources
2023,Cowman,Tim,Dept. of Agriculture and Nat Resources
2023,Florentz,Terry,Dept. of Agriculture and Nat Resources
2023,Gere,Tom,Dept. of Agriculture and Nat Resources
2023,Gronlund,Eric,Dept. of Agriculture and Nat Resources
2023,Lees,Mike,Dept. of Agriculture and Nat Resources
2023,Mayer,Mark,Dept. of Agriculture and Nat Resources
2023,McLaury,Barry,Dept. of Agriculture and Nat Resources
2023,Perkovich,Mike,Dept. of Agriculture and Nat Resources
2023,Rombough,Kyrik,Dept. of Agriculture and Nat Resources
2023,Roth,Troy,Dept. of Agriculture and Nat Resources
2023,Sievers,Brenda,Dept. of Agriculture and Nat Resources
2023,Warnke,Marcus,Dept. of Agriculture and Nat Resources
2023,Wendte,Jim,Dept. of Agriculture and Nat Resources
2023,Waldner,Mike,Gov's Office of Econ Dev
2023,Gesick-Johnson,Ann,Gov's Office of Econ Dev
2023,Schilken,Chris,Gov's Office of Econ Dev
2023,Welch,Nate,Gov's Office of Econ Dev
2023,Vallery,Rick,Gov's Office of Econ Dev
2023,Westra,Steve,Gov's Office of Econ Dev
2023,Fiala,Joe,Gov's Office of Econ Dev
2023,Dovre,Travis,Gov's Office of Econ Dev
2023,Engel,Tim,Gov's Office of Econ Dev
2023,Hitchcock,Sarah,Governor's Office
2023,Bies,Jayden,Governor's Office
2023,Brunner,Ryan,Governor's Office
2023,Decker,Mackenzie,Governor's Office
2023,Fury,Ian,Governor's Office
2023,Goltz,Megan,Governor's Office
2023,Hollatz,Beth,Governor's Office
2023,Hruska,Katie,Governor's Office
2023,Koisti,Ben,Governor's Office
2023,Miller,Mark,Governor's Office
2023,Oglesby,Rachel,Governor's Office
2023,Otten,Brad,Governor's Office
2023,Ringling,Laura,Governor's Office
2023,Vester,Alan,Governor's Office
2023,Landguth,Scott,SD Ellsworth Development Authority
2023,Spindle,Bill,Board of Regents
2023,Holbeck,Mike,Board of Regents
2023,Fulton,Neil,Board of Regents
2023,Trautman,Karla,Board of Regents
2023,Scholl,Daniel,Board of Regents
2023,Brown,Brock,Board of Regents
2023,Trefz,Dan,Board of Regents
2023,Wadsworth,Kim,Board of Regents
2023,Maher,Brian,Board of Regents
2023,Langdell,Anne,Board of Regents
2023,Minder,Janice,Board of Regents
2023,Ridgway,Tim,Board of Regents
2023,Bastian,John,Board of Regents
2023,Thares,Jim,Board of Regents
2023,Wink,Joan,Board of Regents
2023,Roberts,Pam,Board of Regents
2023,Nichols,Laurie,Board of Regents
2023,Griffiths,Jose Marie,Board of Regents
2023,Rankin,Jim,Board of Regents
2023,Gestring,Sheila,Board of Regents
2023,Dunn,Barry,Board of Regents
2023,Forney,Heather,Board of Regents
2023,Bastian,Kayla,Board of Regents
2023,Lukkes,Nathan,Board of Regents
2023,Johnson,Kathy,Board of Regents
2023,Krusemark,Stacy,Board of Regents
2023,Paulson,Veronica,Board of Regents
2023,Wanous,Michael,Board of Regents
2023,Roberts,Lance,Board of Regents
2023,Hedge,Dennis,Board of Regents
2023,Hackemer,Kurt,Board of Regents
2023,Hluchy,Claudean,Board of Regents
2023,Clark,Liza,Board of Regents
2023,Hoey,Rebecca,Board of Regents
2023,Gibbons,Bill,Board of Regents
2023,Link,David,Board of Regents
2023,Hansen,Dave,Board of Regents
2023,Kern,Paul,Board of Regents
2023,Partridge,Jeff,Board of Regents
2023,Franken,AJ,Board of Regents
2023,Kilpinen,Jon,Board of Regents
2023,Allred,John,Board of Regents
2023,Herman,Jade,Board of Regents
2023,Farris,Holly,Board of Regents
2023,Schnoor,Neal,Board of Regents
2023,Rave,Tim,Board of Regents
2023,Hanson,Richard,Board of Regents
2023,Mielke,Barry,Board of Regents
2023,Davis,Ralph,Board of Regents
2023,Engebretson,Dan,Board of Regents
2023,Podhradsky,Ashley,Board of Regents
2023,Kriech,Julie,Board of Regents
2023,Overby,Dave,Board of Regents
2023,Cassady,Joe,Board of Regents
2023,Perry,Jay,Board of Regents
2023,Sanderson,Carrie,Board of Regents
2023,Roberts,Jerilyn,Board of Regents
2023,Krogh,Mary Anne,Board of Regents
2023,Meendering,Jonathan,Board of Regents
2023,Cundy,Mary,Board of Regents
2023,Overcash,Jeff,Department of Human Services
2023,Howell,Jenna,Department of Human Services
2023,Krzmarzick,Heather,Department of Human Services
2023,Younie,Joey,Department of Human Services
2023,Abeln,Barb,Department of Human Services
2023,Martinec,Tom,Department of Human Services
2023,Mattke,Gaye,Department of Human Services
2023,Rechtenbaugh,Shawnie,Department of Human Services
2023,Weiss,Eric,Department of Human Services
2023,Heier,Pauline,Department of Labor and Regulation
2023,Hultman,Marcia,Department of Labor and Regulation
2023,Dovre,Dawn,Department of Labor and Regulation
2023,Ward,Emily,Department of Labor and Regulation
2023,Mulder,Amber,Department of Labor and Regulation
2023,Afdahl,Bret,Department of Labor and Regulation
2023,Jensen,Brock,Department of Labor and Regulation
2023,Deiter,Larry,Department of Labor and Regulation
2023,Kruger,Jill,Department of Labor and Regulation
2023,Marnell,Frank,Department of Labor and Regulation
2023,Nickelson,Johanna,Department of Labor and Regulation
2023,Holbrook,Candy,Department of Labor and Regulation
2023,Jordan,Travis,Department of Labor and Regulation
2023,Ringstmeyer,Kendra,Department of Labor and Regulation
2023,McCabe,Jerry,Department of Labor and Regulation
2023,Dorschner,Tony,Department of Labor and Regulation
2023,Gustafson,Derek,Department of Labor and Regulation
2023,Miller,Melissa,Department of Labor and Regulation
2023,de Hueck,Adam,Public Utilities Commission
2023,Reiss,Amanda,Public Utilities Commission
2023,Kimnitz,Cindy,Public Utilities Commission
2023,Chambliss,Cody,Public Utilities Commission
2023,Kearney,Darren,Public Utilities Commission
2023,Gregg,Deb,Public Utilities Commission
2023,Rislov,Greg,Public Utilities Commission
2023,Thurber,Jon,Public Utilities Commission
2023,Cremer,Karen,Public Utilities Commission
2023,Edwards,Kristen,Public Utilities Commission
2023,Mohr,Leah,Public Utilities Commission
2023,Zanter,Mary,Public Utilities Commission
2023,Van Gerpen,Patricia,Public Utilities Commission
2023,Bollinger,Scott,Bureau of Administration
2023,Gerlach,Andy,Bureau of Administration
2023,Fuoss,Anita,Bureau of Administration
2023,Watters,Stacy,Bureau of Administration
2023,Ambach,Craig,Bureau of Administration
2023,Haugan,Leah,Bureau of Administration
2023,Berg,Steve,Bureau of Administration
2023,Latham,Jenna,State Auditor's Office
2023,Richter,John,South Dakota Investment Council
2023,Clark,Matt,South Dakota Investment Council
2023,Peterson,Casey,SD Science & Technology Authority
2023,Strategies,GSG,SD Science & Technology Authority
2023,Headley,Mike,SD Science & Technology Authority
2023,Engel,Tim M.,SD Science & Technology Authority
2023,Abraham,Doug,SD Science & Technology Authority
2023,Price,Craig,Department of Public Safety
2023,Miller,Rick,Department of Public Safety
2023,Lusk,Dan,Department of Public Safety
2023,Lemieux,Angie,Department of Public Safety
2023,Turman,Kristi,Department of Public Safety
2023,Schrank,Jane,Department of Public Safety
2023,Merriman,Paul,Department of Public Safety
2023,Titze,Tina,Department of Public Safety
2023,Olson,Cora,Department of Public Safety
2023,Stahl,Jon,Department of Public Safety
2023,Peterson,Joel,Department of Public Safety
2023,Wickham,Jay,Department of Public Safety
2023,Kurth,Amanda,Department of Public Safety
2023,Flynn,Grant,Department of Public Safety
2023,Bachand,Paul,Department of Public Safety
2023,Steen,Tyler,Department of Public Safety
2023,Bierne,Jon,Department of Public Safety
2023,Yitagesu,Jeanelle,Department of Public Safety
2023,Ketterling,Jason,Department of Public Safety
2023,McGuigan,Darcy,Department of Health
2023,Kiel,Emily,Department of Health
2023,Pallotta,Howard,Department of Health
2023,Magstadt,Melissa,Department of Health
2023,Adam,Joan,Department of Health
2023,Valenti,Lynne,Department of Health
2023,Dokken,Beth,Department of Health
2023,Pullman,Shane,Department of Transportation
2023,Humphrey,Jason,Department of Transportation
2023,Kitts,Jordon,Department of Transportation
2023,Jundt,Joel,Department of Transportation
2023,Behm,Mike,Department of Transportation
2023,Beck,Kellie,Department of Transportation
2023,Smith,Craig,Department of Transportation
2023,Manhart,Logan,Secretary of State
2023,Miller,Adam,Secretary of State
2023,Soulek,Rachel,Secretary of State
2023,Deadrick,Tom,Secretary of State
2023,Dowling,Kayla,Secretary of State
2023,Jensen,Elaine,Secretary of State
2023,Williams,Jason,State Treasurer Office
2023,DeJabet,Lee,State Treasurer Office
2023,Hull,Melissa,State Treasurer Office
2023,Almond,Penni,State Treasurer Office
2023,Grambihler,Anissa,State Treasurer Office
2023,Youngberg,Jordan,State Treasurer Office
2023,Wendell,Nick,Board of Technical Education
2023,DesLauries,Scott,Board of Technical Education
2023,Trapp,Debbie,South Dakota Brand Board
2023,Vance,Scott,South Dakota Brand Board
2023,Williams,Myron,South Dakota Brand Board
2023,Spring,Lyle,South Dakota Brand Board
2023,Isler,Vicki,Board of Social Work Examiners
2023,Geddes,Brooke,Board of Social Work Examiners
2023,Tellinghuisen,Carol,Board of Social Work Examiners
2023,Stanley,Lisa,Board of Social Work Examiners
2023,Bruns,Amber,Board of Social Work Examiners
2023,Williams,Mandy,Board of Speech-Language Pathologists
2023,Tellinghuisen,Carol,Board of Speech-Language Pathologists
2023,Geddes,Brooke,Board of Speech-Language Pathologists
2023,Rehorst,Abby,Board of Speech-Language Pathologists
2023,Christian,Susan,Commission on Gaming
2023,Heltzel,Mark,Commission on Gaming
2023,Webster,Dan,Department of Revenue
2023,Houdyshell,Michael,Department of Revenue
2023,Wiest,David,Department of Revenue
2023,Richardson,Toni,Department of Revenue
2023,Adams,Roberta,Department of Revenue
2023,Biteler,Kaitlin,Department of Revenue
2023,Schinkel,Douglas,Department of Revenue
2023,Jares,Alison,Department of Revenue
2023,Evans,Jason,Department of Revenue
2023,Lingle,Norman,Department of Revenue
2023,Hepper,Clark,Department of Revenue
2023,Yaeger,Rosa,Department of Revenue
2023,Weischedel,Monica,Department of Revenue
2023,Zilverberg,Ashley,Department of Revenue
2023,Gerry,Darrin,Department of Revenue
2023,Semmler,Wendy,Department of Revenue
2023,Carlson,Robin,Department of Revenue
2023,Jensen,Amber,Department of Revenue
2023,Jasper,Kirsten,Department of Revenue
2023,Schaefbauer,Ali,Department of Revenue
2023,Stalley,Jennifer,Board of Addiction and Prevention Professionals
2023,Sanderson,Carrie,Center for the Prevention of Child Maltreatment
2023,Sanderson,Tiffany,Lake Area Technical College
2023,Stiles,Diane,Lake Area Technical College
2023,Bolman,Ann,Western Dakota Technical Institute
2023,Griggs,Robert,Southeast Technical College
2023,Slade,Mark,SD Small Business Development Center
2023,Ripley,Nina,State Plumbing Commission
2023,Wahl,Faron,State Fair Commission
