YEAR,LOBBYIST_LAST_NAME,LOBBYIST_FIRST_NAME,EMPLOYER
2022,Michels,Marshall,Department of the Military
2022,Yost,Martin,Department of the Military
2022,Marlette,Jeff,Department of the Military
2022,Hohn,Connie,Department of the Military
2022,Campbell,Jason,Department of the Military
2022,Perry,Heather,Bureau of Info and Tele
2022,Snow,Pat,Bureau of Info and Tele
2022,Pierce,Jeff,Bureau of Info and Tele
2022,Jost,Amanda,Bureau of Info and Tele
2022,Rae,Tony,Bureau of Info and Tele
2022,Hayden-Moreland,Wayne,Bureau of Info and Tele
2022,Booth,Deanne,Bureau of Info and Tele
2022,Overgaard,Julie,Bureau of Info and Tele
2022,Rohrer,Larry,Bureau of Info and Tele
2022,Clines,Jeff,Bureau of Info and Tele
2022,Penaranda,Miguel,Bureau of Info and Tele
2022,Osborn,Fred,Department of Tribal Relations
2022,Garcia,Mark,Department of Tribal Relations
2022,Flute,David,Department of Tribal Relations
2022,Schneider,Nicole,Department of Tribal Relations
2022,Clark,Doug,Department of Corrections
2022,Skipper,Brittni,Department of Corrections
2022,Bunkers,Kristi,Department of Corrections
2022,Coppersmith,Bridget,Department of Corrections
2022,Edson,Kim,Department of Corrections
2022,Schlimgen,Catherine,Department of Corrections
2022,Humig,Danna,Department of Corrections
2022,Winder,Michael,Department of Corrections
2022,Weeldreyer,Darwin,Department of Corrections
2022,McLain,Kevin,Department of Corrections
2022,Wasko,Kellie,Department of Corrections
2022,Ringling,Laura,Department of Social Services
2022,Bennett,Pamela,Department of Social Services
2022,Johnson,Carrie,Department of Social Services
2022,Simmons,Jason,Department of Social Services
2022,Mayer,Alex,Department of Social Services
2022,Lippert,Jeremy,Department of Social Services
2022,Gill,Laurie,Department of Social Services
2022,Tidball-Zeltinger,Brenda,Department of Social Services
2022,Wieseler,Virgena,Department of Social Services
2022,STADICK SMITH,MARY,Department of Education
2022,Sanderson,Tiffany,Department of Education
2022,Rae,Lisa,Department of Education
2022,Turner,Linda,Department of Education
2022,Leingang,Carla,Department of Education
2022,Moran,Joe,Department of Education
2022,Malone,Shannon,Department of Education
2022,Scheibe,Laura,Department of Education
2022,Jones,Ben,Department of Education
2022,Stoeser,Cody,Department of Education
2022,LaCroix,Amanda,Department of Education
2022,Bachand,Paul,Department of Education
2022,Barnett,Mark,South Dakota Retirement System
2022,Koldenhoven,Samantha,South Dakota Retirement System
2022,Mikkelsen,Michelle,South Dakota Retirement System
2022,Stroeder,Eric,South Dakota Retirement System
2022,Humann,Michelle,South Dakota Retirement System
